policy_number,client_name,client_type,carrier_name,category,sub_category,issue_date,expiry_date,premium_amount,policy_status,distribution_channel,region,claim_amount,claim_status,commission_earned
POL-74340559,"Minhas, Chada and Ravi",Corporate/B2B,ICICI Lombard,Travel,Overseas,2026-06-04,2026-06-07,7170.92,Renewed,Online,Delhi,3628.53,Approved,631.04
POL-14125494,"Minhas, Chada and Ravi",Corporate/B2B,HDFC ERGO,Motor,2W,2024-07-28,2025-07-17,6026.28,Renewed,Broker,Delhi,0.0,No Claim,512.23
POL-97328844,"Minhas, Chada and Ravi",Corporate/B2B,United India,Health,Group Medi,2026-04-21,2027-03-07,28821.98,Renewed,Direct,Delhi,0.0,No Claim,2334.58
POL-77909156,"Minhas, Chada and Ravi",Corporate/B2B,TATA AIG,Motor,2W,2025-11-18,2026-07-07,11250.15,Cancelled,Online,Delhi,0.0,No Claim,1541.27
POL-85904643,"Minhas, Chada and Ravi",Corporate/B2B,TATA AIG,Motor,2W,2024-09-20,2025-04-21,27239.91,Cancelled,Online,Delhi,9444.15,Approved,4004.27
POL-3008652,"Deol, Kumer and Goyal",Corporate/B2B,ICICI Lombard,Health,Group Medi,2025-11-15,2026-06-12,49445.3,Renewed,Online,Maharashtra,0.0,No Claim,8751.82
POL-22828639,"Deol, Kumer and Goyal",Corporate/B2B,Bajaj Allianz,Health,Group Medi,2025-05-23,2026-03-05,22468.68,Renewed,Direct,Maharashtra,0.0,No Claim,3280.43
POL-91451678,"Deol, Kumer and Goyal",Corporate/B2B,New India Assurance,Motor,2W,2026-05-06,2026-10-06,20354.29,Cancelled,Broker,Maharashtra,25454.0,Registered,3012.43
POL-77061408,"Deol, Kumer and Goyal",Corporate/B2B,United India,Home,Theft,2026-02-17,2026-05-04,31103.62,Cancelled,Online,Maharashtra,0.0,No Claim,5038.79
POL-21215968,"Deol, Kumer and Goyal",Corporate/B2B,New India Assurance,Travel,Flight,2024-11-06,2025-01-20,10832.23,Expired,Direct,Maharashtra,26413.98,Approved,1408.19
POL-54107633,"Deol, Kumer and Goyal",Corporate/B2B,ICICI Lombard,Home,Theft,2025-07-25,2025-09-02,24320.5,Renewed,Online,Maharashtra,24946.35,Rejected,4231.77
POL-54092547,Balan Ltd,Corporate/B2B,United India,Home,Theft,2025-01-01,2025-09-27,23045.48,Active,Agency,Gujarat,0.0,No Claim,3825.55
POL-60981746,Balan Ltd,Corporate/B2B,New India Assurance,Home,Damage,2026-05-25,2027-05-10,18595.72,Expired,Broker,Gujarat,0.0,No Claim,2436.04
POL-5943626,"Chowdhury, Sundaram and Shanker",Corporate/B2B,ICICI Lombard,Motor,CV,2025-10-02,2026-04-04,22484.68,Expired,Agency,Tamil Nadu,0.0,No Claim,3057.92
POL-26497224,"Chowdhury, Sundaram and Shanker",Corporate/B2B,New India Assurance,Health,Individual,2024-07-26,2025-06-06,31189.57,Expired,Agency,Tamil Nadu,0.0,No Claim,4896.76
POL-66478866,Yachana Panchal,Individual/B2C,Bajaj Allianz,Motor,2W,2026-05-19,2027-04-11,36153.71,Expired,Direct,Karnataka,0.0,No Claim,5784.59
POL-22997402,Triveni Loyal,Individual/B2C,HDFC ERGO,Home,Theft,2025-10-03,2026-08-24,29021.87,Renewed,Agency,West Bengal,6119.69,Registered,4324.26
POL-52197566,Luke Shroff,Individual/B2C,TATA AIG,Home,Theft,2025-09-14,2026-04-20,39809.24,Expired,Online,Gujarat,39466.05,Rejected,5374.25
POL-56799355,Luke Shroff,Individual/B2C,TATA AIG,Health,Individual,2024-09-26,2025-06-26,26671.93,Cancelled,Agency,Gujarat,0.0,No Claim,4720.93
POL-3534449,Luke Shroff,Individual/B2C,New India Assurance,Motor,2W,2025-09-10,2025-11-11,46874.41,Renewed,Direct,Gujarat,0.0,No Claim,4734.32
POL-47965115,Luke Shroff,Individual/B2C,New India Assurance,Motor,CV,2024-11-15,2025-04-15,24983.73,Active,Direct,Gujarat,1589.2,Under Review,3597.66
POL-7878537,Vidhi Thaman,Individual/B2C,New India Assurance,Home,Damage,2026-04-25,2026-06-22,39319.15,Renewed,Agency,Maharashtra,1078.66,Approved,4993.53
POL-96073824,Ekantika Sachdeva,Individual/B2C,Bajaj Allianz,Home,Theft,2025-03-23,2026-03-10,48589.68,Cancelled,Agency,Uttar Pradesh,0.0,No Claim,4616.02
POL-66076201,Ekantika Sachdeva,Individual/B2C,United India,Health,Group Medi,2025-11-10,2026-07-11,45442.37,Renewed,Agency,Uttar Pradesh,25091.38,Under Review,7134.45
POL-15684460,Pall-Kala,Corporate/B2B,New India Assurance,Home,Damage,2024-08-18,2024-12-23,6204.52,Active,Broker,Delhi,0.0,No Claim,1029.95
POL-52700061,Pall-Kala,Corporate/B2B,United India,Motor,4W,2025-01-30,2025-04-27,38771.18,Renewed,Agency,Delhi,14762.87,Under Review,4807.63
POL-62527574,Pall-Kala,Corporate/B2B,Bajaj Allianz,Health,Individual,2025-11-30,2026-03-18,29902.26,Renewed,Agency,Delhi,26420.79,Approved,3319.15
POL-67376937,Faras Thakkar,Individual/B2C,United India,Health,Individual,2025-11-25,2026-08-07,40245.58,Renewed,Online,Uttar Pradesh,0.0,No Claim,6841.75
POL-6100556,Faras Thakkar,Individual/B2C,ICICI Lombard,Home,Damage,2025-11-01,2026-10-06,42914.4,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,4334.35
POL-32762819,Faras Thakkar,Individual/B2C,New India Assurance,Motor,4W,2025-09-15,2026-02-13,49078.05,Expired,Direct,Uttar Pradesh,0.0,No Claim,7852.49
POL-1226679,"Gill, Garg and Nazareth",Corporate/B2B,New India Assurance,Health,Group Medi,2026-02-16,2026-05-21,39888.81,Renewed,Agency,Gujarat,0.0,No Claim,5943.43
POL-1075421,"Kala, Gandhi and Manda",Corporate/B2B,ICICI Lombard,Motor,4W,2025-03-04,2026-03-01,38430.37,Renewed,Direct,Maharashtra,20971.54,Rejected,3650.89
POL-32005057,"Kala, Gandhi and Manda",Corporate/B2B,HDFC ERGO,Motor,4W,2025-07-11,2026-06-22,31500.22,Active,Agency,Maharashtra,0.0,No Claim,2929.52
POL-4859746,"Kala, Gandhi and Manda",Corporate/B2B,HDFC ERGO,Motor,4W,2024-12-18,2025-06-09,43897.3,Renewed,Online,Maharashtra,0.0,No Claim,7155.26
POL-74961087,"Kala, Gandhi and Manda",Corporate/B2B,New India Assurance,Home,Theft,2026-02-12,2026-02-20,40484.93,Renewed,Online,Maharashtra,0.0,No Claim,6639.53
POL-9537817,Sarkar Group,Corporate/B2B,Bajaj Allianz,Home,Theft,2025-08-29,2026-06-07,6646.82,Cancelled,Direct,West Bengal,34318.88,Under Review,744.44
POL-88814700,Sarkar Group,Corporate/B2B,United India,Motor,2W,2025-11-02,2026-09-22,35904.55,Cancelled,Direct,West Bengal,0.0,No Claim,4452.16
POL-17354799,Upkaar Gera,Individual/B2C,New India Assurance,Motor,2W,2024-10-11,2025-01-30,13366.25,Expired,Agency,Maharashtra,0.0,No Claim,2098.5
POL-25643428,Upkaar Gera,Individual/B2C,United India,Home,Damage,2025-02-09,2025-11-25,17959.79,Active,Direct,Maharashtra,0.0,No Claim,2927.45
POL-76555379,Upkaar Gera,Individual/B2C,Bajaj Allianz,Travel,Overseas,2025-07-29,2026-06-09,6306.91,Expired,Direct,Maharashtra,0.0,No Claim,920.81
POL-56655005,Yashodhara Dhillon,Individual/B2C,ICICI Lombard,Motor,4W,2024-07-16,2024-12-17,27994.83,Renewed,Broker,Maharashtra,0.0,No Claim,2407.56
POL-87759489,Yashodhara Dhillon,Individual/B2C,Bajaj Allianz,Health,Individual,2025-04-17,2026-02-20,39071.17,Active,Direct,Maharashtra,0.0,No Claim,4141.54
POL-49778792,Yashodhara Dhillon,Individual/B2C,New India Assurance,Motor,4W,2025-03-18,2026-03-12,14208.86,Cancelled,Agency,Maharashtra,0.0,No Claim,1321.42
POL-35464720,Yashodhara Dhillon,Individual/B2C,ICICI Lombard,Health,Individual,2025-06-11,2026-02-20,36616.43,Cancelled,Agency,Maharashtra,0.0,No Claim,5895.25
POL-96029620,"Sachdev, Hans and Chad",Corporate/B2B,New India Assurance,Motor,2W,2025-08-04,2025-09-10,8585.35,Cancelled,Online,Maharashtra,0.0,No Claim,1159.02
POL-36299961,"Sachdev, Hans and Chad",Corporate/B2B,HDFC ERGO,Home,Damage,2024-09-16,2024-10-17,19570.93,Active,Agency,Maharashtra,0.0,No Claim,2857.36
POL-86758944,"Sachdev, Hans and Chad",Corporate/B2B,Bajaj Allianz,Home,Damage,2026-04-22,2026-08-08,33730.82,Renewed,Online,Maharashtra,0.0,No Claim,5127.08
POL-3044653,Vanya Mohan,Individual/B2C,TATA AIG,Motor,2W,2024-11-08,2024-12-17,9629.54,Active,Direct,Delhi,21247.53,Rejected,1492.58
POL-10409054,Vanya Mohan,Individual/B2C,New India Assurance,Motor,CV,2026-01-20,2026-06-21,49074.87,Expired,Broker,Delhi,26131.12,Registered,7017.71
POL-7825286,Soman-Sangha,Corporate/B2B,United India,Health,Individual,2026-04-18,2026-07-21,19769.2,Active,Direct,Tamil Nadu,0.0,No Claim,2827.0
POL-55178983,Soman-Sangha,Corporate/B2B,HDFC ERGO,Home,Theft,2025-03-29,2025-12-01,38871.26,Expired,Agency,Tamil Nadu,0.0,No Claim,5480.85
POL-38313096,Soman-Sangha,Corporate/B2B,ICICI Lombard,Health,Group Medi,2024-07-16,2024-12-23,9488.53,Renewed,Online,Tamil Nadu,0.0,No Claim,825.5
POL-66334806,Soman-Sangha,Corporate/B2B,United India,Home,Damage,2025-04-15,2025-11-22,22652.41,Renewed,Broker,Tamil Nadu,0.0,No Claim,2718.29
POL-73346479,Soman-Sangha,Corporate/B2B,Bajaj Allianz,Health,Individual,2026-01-17,2026-09-02,43822.45,Renewed,Broker,Tamil Nadu,0.0,No Claim,5390.16
POL-4638749,Ekbal Khatri,Individual/B2C,Bajaj Allianz,Health,Individual,2025-03-25,2025-05-16,46007.23,Expired,Broker,Maharashtra,0.0,No Claim,6901.08
POL-85373335,Ekbal Khatri,Individual/B2C,New India Assurance,Health,Individual,2025-01-03,2025-08-07,5281.63,Cancelled,Broker,Maharashtra,0.0,No Claim,459.5
POL-15416734,Ekbal Khatri,Individual/B2C,United India,Motor,2W,2025-10-28,2026-08-09,9908.31,Expired,Agency,Maharashtra,0.0,No Claim,951.2
POL-74874267,Nair-Kapadia,Corporate/B2B,Bajaj Allianz,Travel,Flight,2024-07-29,2025-06-14,35104.16,Cancelled,Direct,Delhi,0.0,No Claim,4528.44
POL-21498654,Sane LLC,Corporate/B2B,TATA AIG,Motor,4W,2026-05-25,2026-06-19,40102.61,Renewed,Direct,Maharashtra,36527.53,Settled,5413.85
POL-77277833,"Chaudhary, Kale and Ramaswamy",Corporate/B2B,HDFC ERGO,Travel,Flight,2025-10-02,2026-04-28,20914.96,Expired,Direct,Gujarat,0.0,No Claim,2133.33
POL-96685076,"Chaudhary, Kale and Ramaswamy",Corporate/B2B,TATA AIG,Home,Theft,2024-08-20,2024-10-19,24706.38,Expired,Online,Gujarat,36748.45,Rejected,4002.43
POL-1330984,"Chaudhary, Kale and Ramaswamy",Corporate/B2B,Bajaj Allianz,Travel,Overseas,2024-10-27,2025-03-09,15727.63,Expired,Agency,Gujarat,0.0,No Claim,2437.78
POL-32842210,Caleb Hegde,Individual/B2C,United India,Motor,CV,2024-07-31,2024-12-02,28384.57,Active,Direct,Uttar Pradesh,0.0,No Claim,2639.77
POL-87485503,"Char, Pillay and Khosla",Corporate/B2B,TATA AIG,Health,Group Medi,2025-07-21,2025-09-11,23833.08,Renewed,Direct,Delhi,0.0,No Claim,2836.14
POL-9258433,"Char, Pillay and Khosla",Corporate/B2B,HDFC ERGO,Travel,Overseas,2025-04-04,2025-09-24,8647.25,Renewed,Broker,Delhi,18103.07,Approved,1141.44
POL-75376000,Borde Inc,Corporate/B2B,Bajaj Allianz,Travel,Overseas,2026-01-29,2026-03-12,22977.93,Expired,Agency,Gujarat,0.0,No Claim,4021.14
POL-67447970,Borde Inc,Corporate/B2B,HDFC ERGO,Motor,4W,2025-08-05,2025-10-11,30593.38,Cancelled,Direct,Gujarat,0.0,No Claim,4068.92
POL-64971994,Borde Inc,Corporate/B2B,United India,Motor,CV,2024-09-14,2025-04-03,24281.9,Cancelled,Online,Gujarat,0.0,No Claim,4006.51
POL-4303487,Borde Inc,Corporate/B2B,ICICI Lombard,Motor,CV,2025-05-27,2026-01-29,30036.51,Expired,Broker,Gujarat,0.0,No Claim,3604.38
POL-96634333,Borde Inc,Corporate/B2B,ICICI Lombard,Motor,2W,2025-02-22,2025-08-08,23940.42,Active,Direct,Gujarat,0.0,No Claim,3327.72
POL-93853266,Borde Inc,Corporate/B2B,Bajaj Allianz,Health,Individual,2025-05-11,2026-02-20,44919.47,Active,Online,Gujarat,1062.3,Registered,5704.77
POL-1758219,Apte Ltd,Corporate/B2B,HDFC ERGO,Travel,Overseas,2025-11-17,2026-04-28,49306.61,Cancelled,Broker,Karnataka,0.0,No Claim,5768.87
POL-1179911,Apte Ltd,Corporate/B2B,HDFC ERGO,Travel,Overseas,2024-06-26,2025-04-29,17060.07,Active,Online,Karnataka,0.0,No Claim,1876.61
POL-14364951,Ojas Mandal,Individual/B2C,ICICI Lombard,Motor,CV,2024-08-16,2024-12-03,49474.36,Renewed,Direct,Gujarat,0.0,No Claim,5145.33
POL-40014520,Ojas Mandal,Individual/B2C,HDFC ERGO,Travel,Flight,2026-03-03,2026-08-09,40360.39,Expired,Online,Gujarat,12723.89,Approved,6054.06
POL-84665696,Trivedi Inc,Corporate/B2B,TATA AIG,Motor,4W,2026-01-11,2026-07-15,18446.36,Cancelled,Agency,Delhi,0.0,No Claim,2453.37
POL-52124086,Trivedi Inc,Corporate/B2B,United India,Motor,CV,2025-01-05,2025-12-21,32506.38,Expired,Online,Delhi,0.0,No Claim,4063.3
POL-93459114,Trivedi Inc,Corporate/B2B,TATA AIG,Home,Theft,2026-02-26,2026-10-08,30373.38,Active,Broker,Delhi,0.0,No Claim,3067.71
POL-69119073,Trivedi Inc,Corporate/B2B,Bajaj Allianz,Health,Individual,2024-08-02,2025-04-30,35236.79,Expired,Broker,Delhi,0.0,No Claim,5426.47
POL-3904947,Trivedi Inc,Corporate/B2B,United India,Travel,Flight,2025-01-20,2025-05-03,9608.36,Expired,Online,Delhi,0.0,No Claim,903.19
POL-44793960,"Morar, Viswanathan and Sachdeva",Corporate/B2B,ICICI Lombard,Home,Theft,2025-01-31,2026-01-17,31862.19,Expired,Broker,West Bengal,8061.18,Approved,5448.43
POL-65789809,"Morar, Viswanathan and Sachdeva",Corporate/B2B,Bajaj Allianz,Travel,Overseas,2026-03-13,2027-03-10,15780.42,Expired,Agency,West Bengal,37145.97,Approved,1546.48
POL-64782518,Deo Ltd,Corporate/B2B,HDFC ERGO,Travel,Overseas,2024-08-10,2025-07-26,49501.56,Renewed,Online,Uttar Pradesh,0.0,No Claim,7128.22
POL-91788709,Deo Ltd,Corporate/B2B,ICICI Lombard,Motor,CV,2024-08-29,2025-03-14,32346.98,Active,Agency,Uttar Pradesh,0.0,No Claim,3364.09
POL-28798217,Mason Boase,Individual/B2C,Bajaj Allianz,Travel,Flight,2024-09-17,2025-05-06,26933.92,Active,Agency,Gujarat,0.0,No Claim,4605.7
POL-43691305,Mason Boase,Individual/B2C,Bajaj Allianz,Motor,CV,2025-04-19,2025-07-08,13983.59,Expired,Agency,Gujarat,11039.13,Under Review,2097.54
POL-58163134,Andrew Mahajan,Individual/B2C,ICICI Lombard,Travel,Flight,2026-02-19,2026-11-19,44094.78,Renewed,Broker,Tamil Nadu,0.0,No Claim,6261.46
POL-57336331,Ati Date,Individual/B2C,New India Assurance,Motor,4W,2026-05-01,2027-02-01,34960.31,Expired,Direct,Karnataka,0.0,No Claim,4509.88
POL-50787172,Ati Date,Individual/B2C,ICICI Lombard,Travel,Flight,2026-04-25,2026-10-29,44337.13,Renewed,Broker,Karnataka,0.0,No Claim,4167.69
POL-61324261,Ati Date,Individual/B2C,Bajaj Allianz,Motor,CV,2024-09-19,2025-03-02,12511.72,Cancelled,Direct,Karnataka,0.0,No Claim,1313.73
POL-20552488,Ati Date,Individual/B2C,United India,Travel,Flight,2025-09-19,2026-02-07,43521.02,Renewed,Agency,Karnataka,0.0,No Claim,7442.09
POL-69931361,"Balasubramanian, Baria and Narain",Corporate/B2B,HDFC ERGO,Motor,CV,2026-03-12,2027-01-08,28990.46,Expired,Online,Gujarat,0.0,No Claim,3623.81
POL-35937388,"Balasubramanian, Baria and Narain",Corporate/B2B,Bajaj Allianz,Motor,4W,2025-12-11,2026-09-20,46844.18,Active,Direct,Gujarat,0.0,No Claim,4731.26
POL-78117965,Ishwar Sethi,Individual/B2C,TATA AIG,Motor,CV,2026-04-01,2026-05-07,25343.12,Cancelled,Broker,Karnataka,0.0,No Claim,4282.99
POL-22262549,Ishwar Sethi,Individual/B2C,Bajaj Allianz,Home,Damage,2025-02-13,2025-05-22,33965.62,Expired,Broker,Karnataka,0.0,No Claim,6079.85
POL-65887641,Ishwar Sethi,Individual/B2C,New India Assurance,Motor,2W,2024-09-18,2025-06-17,26995.6,Expired,Online,Karnataka,0.0,No Claim,2645.57
POL-80883139,"Pall, Raj and Maharaj",Corporate/B2B,TATA AIG,Health,Group Medi,2024-07-21,2025-05-12,18193.1,Renewed,Online,Uttar Pradesh,0.0,No Claim,3020.05
POL-95199478,"Pall, Raj and Maharaj",Corporate/B2B,Bajaj Allianz,Motor,CV,2025-06-18,2025-11-26,16606.52,Active,Online,Uttar Pradesh,0.0,No Claim,2623.83
POL-1723400,"Pall, Raj and Maharaj",Corporate/B2B,United India,Motor,4W,2026-03-25,2026-07-17,34965.77,Cancelled,Broker,Uttar Pradesh,0.0,No Claim,5629.49
POL-64840223,Dewan LLC,Corporate/B2B,Bajaj Allianz,Travel,Flight,2024-08-27,2025-07-31,32037.19,Expired,Online,Maharashtra,29153.24,Approved,3171.68
POL-44014254,Dewan LLC,Corporate/B2B,TATA AIG,Travel,Overseas,2025-08-26,2025-09-22,23121.77,Renewed,Agency,Maharashtra,13463.94,Settled,4046.31
POL-37423537,Dewan LLC,Corporate/B2B,ICICI Lombard,Motor,2W,2025-10-08,2026-02-07,29857.09,Renewed,Direct,Maharashtra,0.0,No Claim,4806.99
POL-26831370,Dewan LLC,Corporate/B2B,Bajaj Allianz,Health,Individual,2025-11-03,2026-07-13,41629.1,Active,Direct,Maharashtra,0.0,No Claim,6077.85
POL-54004654,Nikita Bedi,Individual/B2C,Bajaj Allianz,Travel,Overseas,2024-08-20,2025-05-17,48922.8,Expired,Agency,Gujarat,0.0,No Claim,5968.58
POL-2959961,"Bansal, Virk and Kurian",Corporate/B2B,TATA AIG,Motor,4W,2026-03-05,2026-12-27,7965.4,Renewed,Direct,West Bengal,0.0,No Claim,1075.33
POL-61532104,Yashasvi Brahmbhatt,Individual/B2C,TATA AIG,Motor,CV,2025-02-08,2025-12-27,6422.88,Cancelled,Online,Delhi,0.0,No Claim,892.78
POL-30607034,Yashasvi Brahmbhatt,Individual/B2C,Bajaj Allianz,Home,Theft,2024-12-06,2025-08-17,21707.69,Active,Agency,Delhi,0.0,No Claim,3408.11
POL-41893637,Yashasvi Brahmbhatt,Individual/B2C,Bajaj Allianz,Travel,Flight,2025-08-30,2026-05-18,25170.14,Renewed,Direct,Delhi,0.0,No Claim,2416.33
POL-84286449,Ahuja-Kumar,Corporate/B2B,TATA AIG,Motor,CV,2025-08-18,2025-11-06,27872.55,Active,Agency,Uttar Pradesh,0.0,No Claim,2787.26
POL-21917712,Ahuja-Kumar,Corporate/B2B,New India Assurance,Motor,2W,2025-03-26,2026-02-20,13844.93,Cancelled,Direct,Uttar Pradesh,25359.07,Rejected,1758.31
POL-37052287,Upadhriti Majumdar,Individual/B2C,United India,Motor,2W,2026-03-31,2026-07-17,30108.27,Renewed,Broker,West Bengal,21729.71,Settled,4877.54
POL-15231337,Kiaan Sankar,Individual/B2C,TATA AIG,Home,Theft,2025-11-07,2026-04-04,16294.36,Cancelled,Agency,West Bengal,0.0,No Claim,2884.1
POL-11864801,"Srinivasan, Tara and Radhakrishnan",Corporate/B2B,HDFC ERGO,Motor,4W,2025-05-17,2026-02-13,17988.55,Cancelled,Direct,Delhi,0.0,No Claim,1600.98
POL-11686612,"Srinivasan, Tara and Radhakrishnan",Corporate/B2B,New India Assurance,Health,Group Medi,2024-07-02,2024-10-12,48069.68,Renewed,Direct,Delhi,0.0,No Claim,6104.85
POL-64990089,"Srinivasan, Tara and Radhakrishnan",Corporate/B2B,ICICI Lombard,Home,Damage,2025-07-04,2025-11-09,7612.11,Expired,Agency,Delhi,35887.99,Approved,1096.14
POL-16627598,"Srinivasan, Tara and Radhakrishnan",Corporate/B2B,TATA AIG,Health,Group Medi,2025-06-06,2026-04-24,24856.25,Active,Agency,Delhi,0.0,No Claim,2212.21
